label,message,processed_message
0,I donno if they are scorable,donno scorable
1,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,hmv bonus special pound genuine hmv voucher answer easy question play send hmv infowwwpercentrealcom
0,Full heat pa:-) i have applyed oil pa.,full heat pa applyed oil pa
0,Hey whats up? U sleeping all morning?,hey whats u sleeping morning
0,Got meh... When?,got meh
1,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkentp
0,I just saw ron burgundy captaining a party boat so yeah,saw ron burgundy captaining party boat yeah
0,Thank You meet you monday,thank meet monday
1,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",hi amy sending free phone number couple day give access adult party
0,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ok found dis pierre cardin one look normal cost sale
0,I will come tomorrow di,come tomorrow di
0,"Just checked out, heading out to drop off my stuff now",checked heading drop stuff
0,U should make a fb list,u make fb list
0,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ahgee
1,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,want new nokia colour phone delivered tomorrow free minute mobile free text free camcorder reply call
0,"Sorry, I'll call later",sorry ill call later
0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,sorry dude dont know forgot even dan reminded sorry hope guy fun
0,Nah dub but je still buff,nah dub je still buff
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watt wanted sure great weekend abiola
0,Thanks for understanding. I've been trying to tell sura that.,thanks understanding ive trying tell sura
0,"Aight fuck it, I'll get it later",aight fuck ill get later
0,With my sis lor... We juz watched italian job.,si lor juz watched italian job
0,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,good morning dear shijutta great amp successful day
0,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,escape theatre going watch kavalan minute
0,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,hard believe thing like say lie think twice saying anything
0,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,sorry im stil fucked last nite went tobed got work
1,URGENT This is our 2nd attempt to contact U. Your Â£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,urgent nd attempt contact u prize yesterday still awaiting collection claim call
0,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",awesome remember last time got somebody high first time diesel v
0,Ok. I only ask abt e movie. U wan ktv oso?,ok ask abt e movie u wan ktv oso
0,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,hello damn christmas thing think decided keep mp doesnt work
0,Is toshiba portege m100 gd?,toshiba portege gd
0,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",way transport le problematic sat night way u want ask n join bday feel free need know definite no booking fri
1,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x CallsÂ£1/minMobsmore LKPOBOX177HP51FL,new club dont fink met yet b gr c u please leave msg day wiv ur area reply promised carlie x callsminmobsmore lkpoboxhpfl
0,I am late. I will be there at,late
0,Ok...,ok
0,Honey boo I'm missing u.,honey boo im missing u
0,After completed degree. There is no use in joining finance.,completed degree use joining finance
0,Dunno lei Ã¼ all decide lor. How abt leona? Oops i tot ben is going n i msg him.,dunno lei decide lor abt leona oops tot ben going n msg
0,"Sorry, I'll call later",sorry ill call later
0,My birthday is on feb  &lt;#&gt;  da. .,birthday feb ltgt da
1,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,want new video phone anytime network min text five pound per week call reply delivery tomorrow
1,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,record indicate u maybe entitled pound compensation accident claim free reply claim msg stop txt stop
1,"For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",ur chance win wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk
1,"WELL DONE! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins",well done costa del sol holiday await collection call toclaim sae tc pobox stockport skxh costpm maxmins
1,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry weekly comp chance win ipod txt pod get entry std txt rate tc apply detail
0,Now only i reached home. . . I am very tired now. . I will come tomorro,reached home tired come tomorro
0,Meeting u is my work. . . Tel me when shall i do my work tomorrow,meeting u work tel shall work tomorrow
0,Anything lor but toa payoh got place 2 walk meh...,anything lor toa payoh got place walk meh
0,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india
1,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,freemsg today day ready im horny live town love sex fun game netcollex ltd p per msg reply stop end
0,(You didn't hear it from me),didnt hear
0,If you r @ home then come down within 5 min,r home come within min
0,When u wana see it then,u wana see
0,Would really appreciate if you call me. Just need someone to talk to.,would really appreciate call need someone talk
